abril;1
pasaba;2
bordón;1
rico;1
malparieron;1
hazles;1
abrir;1
voz;31
mañas;1
voy;31
cosecha;1
fijara;1
éste;13
váyase;3
fugaces;2
ofender;1
huevos;2
ésta;6
ruedas;3
atrinchilé;1
levantaban;1
colima;2
detuviera;2
despiértate;1
repasó;3
vendrá;3
turno;2
agachó;2
lanzó;1
demás;13
pagar;4
envolverse;1
cortejo;1
pagan;2
cerraron;1
río;6
brinqué;2
ojeada;1
aventar;1
cocosa;1
correcaminos;1
agua;30
anunciarle;1
puestos;1
vacías;6
retorcida;1
maldiciendo;1
estáte;1
enterrada;1
turicatas;1
desparramaron;1
arrastran;1
ceja;2
aguantando;3
mojados;2
fungir;1
vendiste;1
adónde;8
trescientos;3
sirvientas;1
anden;1
cuerpo;33
cueros;2
cuanto;14
era;86
arriesgando;1
resbalaban;1
échamela;1
humedad;4
quieres;13
penando;2
abren;1
centenares;1
piénsalo;1
cocuyos;1
quieren;3
tome;2
helechos;1
visitar;1
estará;4
esa;35
detener;2
lograron;1
alejándote;1
ese;41
estaré;2
intenté;1
noche;75
aquellos;10
eso;126
referente;1
intenso;2
señor;35
esconderse;2
abrieron;2
pararía;1
perdona;1
lejos;14
llenando;1
florencio;5
contarme;1
perdone;2
curiosidad;1
piafar;1
desmoronando;1
vertederos;1
puras;1
perdono;1
comportas;1
entrará;1
puntitas;1
cuervos;1
conmovimos;1
apeó;2
líbranos;1
ventanas;2
sombrero;3
ocupado;2
línea;1
marchitas;2
acordaba;5
cena;1
urgencia;1
año;5
persignó;1
metros;1
cortinas;1
andar;6
aldrete;10
andas;4
ponernos;1
estábamos;4
molestaran;1
media;40
forma;3
andan;4
quería;11
fosforescente;1
crecen;1
alumbrarlo;1
descansaban;1
tomó;4
mencionaste;1
bañar;1
mancomunados;1
disimulo;1
medir;1
pesos;6
caía;3
medio;9
crecer;3
osorio;3
bultos;1
harán;2
dureza;1
carcajada;1
toribio;5
polilla;1
abriste;1
sucederse;1
brava;1
intento;2
aclarar;1
harás;1
necesitar;1
necesitas;3
estar;22
poquito;3
necesitan;1
calles;6
ayuda;2
lugarcito;1
navegando;1
volví;8
estas;8
terreno;1
crío;1
adivinó;2
abarcarlo;1
empobrecido;1
moverme;1
tocaban;2
gallo;1
cabello;1
grandes;2
volvimos;2
amoroso;1
sube;2
empañaban;1
abraza;1
cuero;1
chapotié;1
regresé;1
transparentaba;1
rabia;1
desprendido;1
oyéramos;1
cruza;1
regresó;6
humildad;1
rumbo;4
hubo;9
catálogo;1
dijera;3
vientos;3
derramado;1
aprecio;2
echa;2
sintiera;1
terció;1
derramada;1
protectora;1
cera;1
estorba;1
andemos;1
barda;1
espero;1
canícula;3
roncando;2
ocasiones;2
pedrito;1
iluminándola;1
miguel;25
silla;1
presencia;1
espesa;2
darles;1
rentería;24
cualquiera;3
cásenos;1
